频繁模式：1,2, 支持度为：8259
频繁模式：2,3,4,1,5, 支持度为：104
频繁模式：2,3,5,1,4, 支持度为：111
频繁模式：2,4,5,1,3, 支持度为：92
频繁模式：3,4,5,1,2, 支持度为：128
频繁模式：3,4,5,2,1, 支持度为：143
频繁模式：1,3,2,4,5, 支持度为：288
频繁模式：1,3,2,5,4, 支持度为：176
频繁模式：1,4,2,5,3, 支持度为：153
频繁模式：1,4,3,5,2, 支持度为：102
频繁模式：2,4,3,5,1, 支持度为：127
频繁模式：1,4,2,3,5, 支持度为：116
频繁模式：1,5,2,3,4, 支持度为：115
频繁模式：1,5,2,4,3, 支持度为：114
频繁模式：1,5,3,4,2, 支持度为：91
频繁模式：2,5,3,4,1, 支持度为：91
频繁模式：1,4,3,2,5, 支持度为：96
频繁模式：1,5,3,2,4, 支持度为：89
频繁模式：1,5,4,3,2, 支持度为：82
频繁模式：2,5,4,3,1, 支持度为：96
频繁模式：2,4,3,1,5, 支持度为：80
频繁模式：2,5,4,1,3, 支持度为：94
频繁模式：3,5,4,1,2, 支持度为：122
频繁模式：3,5,4,2,1, 支持度为：157
频繁模式：2,3,1,4,5, 支持度为：152
频繁模式：2,3,1,5,4, 支持度为：101
频繁模式：3,4,1,5,2, 支持度为：82
频繁模式：3,4,2,5,1, 支持度为：109
频繁模式：2,4,1,3,5, 支持度为：92
频繁模式：2,5,1,3,4, 支持度为：95
频繁模式：2,5,1,4,3, 支持度为：98
频繁模式：3,5,1,4,2, 支持度为：100
频繁模式：3,5,2,4,1, 支持度为：100
频繁模式：3,4,1,2,5, 支持度为：88
频繁模式：4,5,1,2,3, 支持度为：115
频繁模式：4,5,1,3,2, 支持度为：120
频繁模式：4,5,2,3,1, 支持度为：201
频繁模式：4,5,2,1,3, 支持度为：108
频繁模式：4,5,3,1,2, 支持度为：186
频繁模式：4,5,3,2,1, 支持度为：293
频繁模式：2,1,3,4,5, 支持度为：316
频繁模式：2,1,3,5,4, 支持度为：179
频繁模式：2,1,4,5,3, 支持度为：85
频繁模式：3,2,4,5,1, 支持度为：119
频繁模式：2,1,4,3,5, 支持度为：185
频繁模式：2,1,5,3,4, 支持度为：111
频繁模式：3,2,5,4,1, 支持度为：91
频繁模式：3,1,4,2,5, 支持度为：118
频繁模式：3,1,5,2,4, 支持度为：82
频繁模式：4,1,5,2,3, 支持度为：94
频繁模式：4,2,5,3,1, 支持度为：95
频繁模式：3,2,4,1,5, 支持度为：92
频繁模式：3,2,5,1,4, 支持度为：97
频繁模式：4,2,5,1,3, 支持度为：90
频繁模式：4,3,5,1,2, 支持度为：142
频繁模式：4,3,5,2,1, 支持度为：155
频繁模式：3,1,2,4,5, 支持度为：143
频繁模式：3,1,2,5,4, 支持度为：94
频繁模式：4,2,3,5,1, 支持度为：114
频繁模式：4,1,2,3,5, 支持度为：119
频繁模式：5,1,2,3,4, 支持度为：138
频繁模式：5,1,2,4,3, 支持度为：85
频繁模式：5,1,3,4,2, 支持度为：100
频繁模式：5,2,3,4,1, 支持度为：119
频繁模式：4,1,3,2,5, 支持度为：106
频繁模式：5,1,3,2,4, 支持度为：119
频繁模式：5,1,4,2,3, 支持度为：114
频繁模式：5,1,4,3,2, 支持度为：119
频繁模式：5,2,4,3,1, 支持度为：148
频繁模式：4,2,3,1,5, 支持度为：86
频繁模式：5,2,3,1,4, 支持度为：96
频繁模式：5,2,4,1,3, 支持度为：103
频繁模式：5,3,4,1,2, 支持度为：155
频繁模式：5,3,4,2,1, 支持度为：258
频繁模式：3,2,1,4,5, 支持度为：111
频繁模式：4,3,2,5,1, 支持度为：113
频繁模式：4,2,1,3,5, 支持度为：88
频繁模式：5,2,1,3,4, 支持度为：123
频繁模式：5,2,1,4,3, 支持度为：90
频繁模式：5,3,1,4,2, 支持度为：90
频繁模式：5,3,2,4,1, 支持度为：119
频繁模式：4,3,1,2,5, 支持度为：86
频繁模式：5,3,1,2,4, 支持度为：106
频繁模式：5,4,1,2,3, 支持度为：162
频繁模式：5,4,1,3,2, 支持度为：177
频繁模式：5,4,2,3,1, 支持度为：221
频繁模式：4,3,2,1,5, 支持度为：98
频繁模式：5,3,2,1,4, 支持度为：86
频繁模式：5,4,2,1,3, 支持度为：170
频繁模式：5,4,3,1,2, 支持度为：270
频繁模式：5,4,3,2,1, 支持度为：467
频繁模式：1,2,3,4,5,6, 支持度为：539
频繁模式：1,2,3,4,6,5, 支持度为：155
频繁模式：1,2,3,5,4,6, 支持度为：155
频繁模式：1,2,4,3,5,6, 支持度为：133
频繁模式：1,3,2,4,5,6, 支持度为：138
频繁模式：5,6,4,3,2,1, 支持度为：129
频繁模式：2,1,3,4,5,6, 支持度为：140
频繁模式：6,4,5,3,2,1, 支持度为：102
频繁模式：6,5,3,4,2,1, 支持度为：89
频繁模式：6,5,4,3,1,2, 支持度为：123
频繁模式：6,5,4,3,2,1, 支持度为：212
频繁模式：1,2,3,4,5,6,7, 支持度为：389
频繁模式：1,2,3,4,5,7,6, 支持度为：91
频繁模式：1,2,3,4,6,5,7, 支持度为：85
频繁模式：7,6,5,4,3,2,1, 支持度为：101
频繁模式：1,2,3,4,5,6,7,8, 支持度为：281
频繁模式：1,2,3,4,5,6,7,8,9, 支持度为：203
频繁模式：1,2,3,4,5,6,7,8,9,10, 支持度为：149
频繁模式：1,2,3,4,5,6,7,8,9,10,11, 支持度为：109
频繁模式：1,2,3,4,5,6,7,8,9,10,11,12, 支持度为：80
